Name,Mean,Sigma,Min,Max,Baseline
Mean (Baseline),0.03056478500366211,0.0,0.03056478500366211,0.03056478500366211,1.0
Median,1.931377649307251,0.0,1.931377649307251,1.931377649307251,63.18963634378071
Python Filter 2018,4.424701690673828,0.0,4.424701690673828,4.424701690673828,144.7646921168817
MATLAB Filter 2018,22.896307945251465,0.0,22.896307945251465,22.896307945251465,749.1074431738405
Heuristic Filter 2016,10.437543869018555,0.0,10.437543869018555,10.437543869018555,341.4891963993198
Heuristic Filter 2016 (Rust),1.9914700984954834,0.0,1.9914700984954834,1.9914700984954834,65.15570445716781
Filter 2018 (Rust),5.191203355789185,0.0,5.191203355789185,5.191203355789185,169.8426262500195
