id eigenvector
474 0.0111;-0.0460;-0.0574;-0.0099;-0.0092;0.0089;0.0485;0.0040;0.0307;-0.0437;0.0147;0.0184;0.0000;0.0311;-0.0315;-0.0076;-0.0060;-0.0169;-0.0572;-0.0039
660 -0.0300;-0.0443;-0.0149;-0.0368;-0.1303;0.0348;-0.0073;-0.0142;0.0182;-0.0037;-0.0251;0.0092;0.0122;0.0240;0.0041;0.0129;0.0209;0.0005;-0.0338;0.0008
1890 0.0137;-0.0444;-0.0275;-0.0050;0.0595;-0.0272;0.0110;-0.0315;-0.0240;-0.0246;0.0251;0.0124;-0.0175;0.0122;0.0174;0.0205;0.0030;-0.0189;0.0003;-0.0117
1923 0.0028;-0.0493;-0.0266;0.0213;-0.0389;-0.0005;0.0148;0.0069;-0.0261;0.0000;-0.0018;-0.0152;-0.0147;0.0116;0.0283;-0.0118;-0.0192;-0.0047;0.0091;0.0363
2083 -0.0031;-0.0416;-0.0250;-0.0111;-0.0129;-0.0003;0.0477;-0.0164;-0.0259;-0.0263;-0.0295;-0.0050;-0.0101;0.0378;0.0204;0.0087;0.0024;0.0044;-0.0260;-0.0000
2733 -0.0026;-0.0424;-0.0432;0.0139;-0.0055;-0.0138;-0.0457;0.0087;0.0024;-0.0013;-0.0257;0.0111;-0.0248;0.0164;-0.0018;0.0166;-0.0142;-0.0135;0.0105;0.0202
3467 -0.0241;-0.0478;-0.0011;-0.0334;-0.0655;0.0469;0.0043;-0.0291;0.0180;0.0014;-0.0460;-0.0608;0.0317;0.0358;0.0201;-0.0370;-0.0023;0.0168;0.0214;-0.0576
3548 -0.0304;-0.0537;-0.0022;0.0205;0.0224;0.0233;0.0252;0.0023;-0.0045;0.0221;-0.0237;0.0058;0.0478;0.0266;0.0255;-0.0278;0.0241;-0.0334;0.0890;-0.0022
3740 -0.0011;-0.0545;-0.0393;-0.0158;-0.0119;-0.0202;-0.0031;0.0122;-0.0081;-0.0153;-0.0326;-0.0497;0.0513;-0.0054;-0.0083;0.0167;-0.0371;0.0027;0.0062;0.0087
4108 0.0048;-0.0588;-0.0444;-0.0032;-0.0236;0.0192;0.0102;-0.0082;-0.0141;0.0104;0.0110;0.0031;-0.0210;0.0261;-0.0399;0.0267;-0.0367;-0.0299;0.0123;-0.0285
4506 0.0010;-0.0539;-0.0374;0.0030;-0.0304;-0.0474;-0.0063;0.0138;-0.0125;0.0013;0.0545;-0.0075;-0.0173;-0.0035;0.0064;-0.0144;-0.0209;0.0311;0.0360;0.0081
4819 -0.0314;-0.0508;-0.0098;-0.0482;-0.0946;0.0512;0.0294;-0.0053;-0.0098;0.0031;0.0123;-0.0180;0.0149;0.0545;0.0337;-0.0436;-0.0016;-0.0125;-0.0204;0.0176
5238 -0.0160;-0.0376;-0.0280;0.0047;-0.0335;0.0135;0.0036;-0.0454;0.0043;-0.0318;0.0014;-0.0052;0.0251;0.0295;0.0039;0.0239;0.0162;-0.0192;-0.0186;-0.0124
5273 -0.0254;-0.0579;-0.0268;-0.0260;-0.1198;0.0754;-0.0526;-0.0354;0.0442;-0.0424;-0.0036;-0.0245;0.0251;0.0313;0.0420;-0.0313;-0.0255;-0.0114;-0.0425;0.0492
5315 -0.0317;-0.0496;-0.0279;0.0112;-0.0996;0.0191;0.0045;-0.0215;-0.0632;-0.0439;0.0419;0.0002;-0.0346;0.0009;-0.0135;0.0334;0.0189;-0.0383;-0.0282;0.0231
5703 -0.0086;-0.0451;-0.0053;0.0340;0.0460;0.0344;-0.0094;0.0043;0.0313;-0.0401;0.0039;-0.0460;-0.0088;-0.0152;0.0153;-0.0178;-0.0425;-0.0107;0.0078;-0.0160
6222 0.0149;-0.0462;-0.0407;0.0212;0.0029;-0.0173;0.0161;-0.0078;-0.0382;0.0196;-0.0073;0.0234;-0.0141;0.0022;-0.0002;0.0434;0.0460;-0.0015;0.0570;0.0340
6632 -0.0104;-0.0416;-0.0200;0.0564;0.0404;0.0034;0.0292;0.0233;-0.0070;0.0044;-0.0043;-0.0068;0.0279;-0.0279;-0.0313;-0.0141;-0.0218;0.0352;0.0342;-0.0667
7474 0.0212;-0.0320;-0.0296;0.0021;0.0033;-0.0204;-0.0034;-0.0326;0.0002;0.0231;0.0317;-0.0199;0.0119;-0.0299;-0.0006;-0.0007;-0.0064;0.0232;0.0137;0.0424
7641 -0.0061;-0.0422;-0.0186;0.0054;-0.0129;-0.0016;-0.0437;0.0077;0.0183;-0.0004;-0.0065;0.0048;-0.0326;0.0273;-0.0132;0.0079;0.0181;-0.0450;-0.0261;0.0345
8135 -0.0192;-0.0561;-0.0225;0.0128;-0.1047;0.0116;0.0163;0.0027;-0.0036;0.0066;0.0133;-0.0394;0.0167;-0.0338;0.0245;-0.0617;0.0257;-0.0178;0.0183;0.0078
8469 -0.0131;-0.0417;-0.0380;0.0246;0.0174;-0.0085;-0.0128;-0.0212;-0.0136;-0.0156;-0.0649;0.0522;0.0140;-0.0086;0.0383;0.0239;0.0419;0.0019;-0.0004;0.0001
8670 0.0086;-0.0398;-0.0291;-0.0038;0.0132;-0.0369;0.0223;0.0150;0.0120;-0.0134;0.0082;-0.0357;-0.0405;0.0125;0.0025;-0.0258;-0.0151;-0.0071;0.0086;0.0682
9707 0.0028;-0.0497;-0.0465;0.0068;-0.0134;-0.0269;-0.0301;0.0019;-0.0134;0.0340;0.0187;0.0279;0.0177;0.0407;0.0146;0.0343;0.0095;0.0119;-0.0354;-0.0115
10108 -0.0109;-0.0488;-0.0204;0.0148;-0.0055;-0.0178;-0.0455;-0.0088;0.0209;-0.0449;-0.0104;-0.0076;0.0219;0.0204;0.0142;-0.0124;0.0020;-0.0065;0.0416;0.0276
10189 0.0110;-0.0384;-0.0190;0.0184;0.0210;0.0372;-0.0297;-0.0220;0.0388;0.0071;-0.0014;-0.0079;-0.0252;-0.0146;-0.0061;-0.0129;0.0123;0.0074;0.0168;-0.0315
11021 -0.0030;-0.0590;-0.0454;0.0325;-0.0083;-0.0182;-0.0111;-0.0029;0.0005;0.0029;-0.0456;0.0359;0.0252;-0.0206;-0.0056;-0.0120;-0.0010;0.0225;-0.0024;0.0164
11126 0.0099;-0.0532;-0.0453;0.0126;-0.0012;-0.0350;0.0476;0.0264;0.0309;0.0099;0.0257;-0.0176;-0.0273;-0.0332;-0.0121;0.0339;0.0050;0.0398;-0.0269;0.0468
12887 0.0023;-0.0470;-0.0668;0.0147;-0.0082;-0.0557;0.0064;0.0321;-0.0126;0.0105;0.0399;0.0553;0.0411;0.0239;0.0119;0.0374;0.0205;-0.0606;0.0133;-0.0238
13011 -0.0570;-0.0215;0.0290;0.0329;0.0212;0.0023;-0.0253;-0.0581;-0.0189;0.0237;0.0091;-0.0163;-0.0037;-0.0587;-0.0108;0.0120;0.0256;-0.0181;-0.0193;0.0042
13067 -0.0078;-0.0512;-0.0421;0.0036;-0.0214;-0.0278;-0.0106;-0.0156;-0.0041;-0.0068;-0.0491;-0.0108;0.0043;-0.0045;-0.0252;-0.0613;0.0155;0.0013;-0.0332;-0.0614
13419 0.0058;-0.0605;-0.0493;0.0202;0.0158;-0.0093;0.0392;-0.0159;0.0008;-0.0216;-0.0326;-0.0459;-0.0156;0.0174;-0.0139;-0.0165;-0.0019;-0.0120;-0.0043;-0.0009
13557 -0.0354;-0.0491;-0.0035;-0.0319;-0.1335;0.0885;-0.0078;-0.0204;0.0085;0.0206;-0.0238;0.0046;-0.0109;0.0031;0.0250;0.0010;0.0007;0.0077;-0.0058;0.0113
13912 0.0161;-0.0368;-0.0658;0.0163;0.0105;0.0015;-0.0012;0.0799;0.0096;-0.0199;0.0079;-0.0000;-0.0039;-0.0372;-0.0086;-0.0031;0.0061;-0.0112;-0.0288;-0.0345
14129 0.0234;-0.0727;-0.0835;0.0504;0.0160;0.0047;-0.0184;-0.0157;-0.0077;0.0548;-0.0122;0.0562;-0.0167;-0.0061;-0.0444;-0.0156;0.0017;0.0193;-0.0392;0.0235
14433 -0.0120;-0.0506;-0.0169;0.0203;-0.0098;0.0111;0.0005;-0.0219;0.0068;-0.0287;-0.0105;-0.0050;-0.0097;0.0166;-0.0052;0.0152;0.0052;-0.0004;0.0357;0.0009
14986 -0.0119;-0.0558;-0.0194;-0.0049;0.0212;-0.0204;0.0284;-0.0061;0.0139;-0.0201;0.0028;-0.0330;0.0236;0.0352;-0.0078;0.0136;0.0375;-0.0091;-0.0222;-0.0269
15097 0.0045;-0.0453;-0.0577;0.0167;-0.0114;-0.0467;-0.0086;0.0097;0.0308;-0.0134;0.0080;0.0210;0.0697;0.0298;0.0132;0.0178;0.0545;0.0409;0.0333;-0.0051
15426 -0.0202;-0.0431;-0.0122;-0.0055;-0.0088;0.0153;0.0068;-0.0339;-0.0233;0.0088;0.0029;0.0306;-0.0106;0.0234;0.0333;0.0157;0.0118;0.0359;-0.0111;0.0172
15496 0.0145;-0.0349;-0.0345;-0.0037;0.0075;-0.0263;0.0027;0.0102;0.0032;0.0027;0.0025;0.0184;-0.0344;0.0290;-0.0269;0.0277;-0.0069;-0.0138;-0.0340;0.0031
16462 -0.0321;-0.0529;-0.0091;-0.0188;-0.1252;0.0428;-0.0319;0.0424;-0.0305;-0.0318;-0.0499;-0.0014;-0.0126;0.0001;-0.0391;0.0025;-0.0225;0.0254;-0.0491;-0.0213
